review,title,rating,date,size,color
Shoes came in a damaged box with a rubber band holding the box shut. Shoes looked worn and used. Would not buy again.,Used shoes,1,6/10/23,12,Cool Grey/Anthracite-dark Grey
"I purchased a pair in 2022, first day my husband wore his shoes his feet smelled, and his feet don't smell! All he wears are Nikes’.  Makes me wonder if these are real. Now I must by Dr. Scholl’s",DON'T BUY,1,3/15/23,9,Black/White/Anthracite
The air popped on the bottom of the shoe. The right shoe is now unleveled and cannot be worn and stable.,These shoes barely lasted over 6 months,1,6/5/23,7,Wolf Grey/Black/Pure Platinum
"Never worn outdoors and only used on treadmill a few time per week. Within a few months the heal has worn through to the air pocket. Extremely unhappy with this product.  Is there a defect or something, as I never had issues like this before",Bad ware on treadmill.,1,12/24/22,11,Cool Grey/Anthracite-dark Grey
"Squeaking noise when walking, sounds like the internal air pockets in the bubble came loose and was rubbing against each other causing the issue",Loud Squeaking noise.,1,3/15/23,9,Cool Grey/Anthracite-dark Grey
AirMax Logo is ruined on the left shoe and fine on the right one,AirMax Logo is ruined before arrival,1,4/29/23,13,Black/Black/Black
IM BEYONG FED UP. THIS IS THE 2ND TIME I ORDERED SNEAKERS.....FIRST TIME I THOUGHT WOW THIS SUCKS MAYBE IT WAS A MIX UP.....BUT COME ON NOW A SECOND TIME ORDWRING AND THE SNEAKERS LOOK LIKE THE IMAGE BUT LEGIT PURPLE (INK) & GREY....I ORGINALLY ORDERED THE ALL BLACK.... DONT WAIST YOUR TIME.,BE WARE!!!! DO NOT BUY!!,1,8/8/22,10,Cool Grey/Anthracite-dark Grey
My husband loved these and I was so excited to buy them but they never showed. I emailed the seller before purchasing to ensure the color was available but I never heard back and once they never arrived I figured it was a loss cause.,Never showed up,1,8/24/22,11,White
They were advertised as new yet the box is torn up and look old. The shoes look like they are used because someone has already been walking in them making the upper material of the shoes creased and he bottom of the shoes are scuffed up.,Send them back not worth buying.,1,6/13/22,8,Cool Grey/Anthracite-dark Grey
Barely wore them for 2 days and both have a horrible squeak and they feel completely flat.  Customer service was non-existent so I sent them back for a return.  AVOID THESE SHOES!,Worst shoes I've ever owned,1,9/28/22,11,Cool Grey/Anthracite-dark Grey
I bought these for my husband because he loves Nikes and has a ton of them. He love them but has barely worn them and they already broke. They pop the other day when he was wearing them or maybe the 10th time.,Don’t buy these!,1,5/19/22,11,Cool Grey/Anthracite-dark Grey
They came with a little dents on one of them near toe. When I put on you can’t see . They are a little bulky for me but look good with jeans . The gray is starting to look like silver which is why I have only wore them twice.,Little bulky for me,1,2/25/22,10,Cool Grey/Anthracite-dark Grey
The “midsole” won’t hold the air pressure inside it.,Shoes are very poor quality,1,9/13/22,8,Cool Grey/Anthracite-dark Grey
"Very unsatisfied, I received the sneakers with a taped up Nike box that was completely damaged. I took the sneakers out of the box and notice the bottom has dirt on it. The toe top of the sneaker is all creased. I come to figure out that these sneakers have already been worn. I was under the influence that I was purchasing new sneakers. I did not want to buy used sneakers, especially in the time of covid 19.",Sneakers were used before I got then,1,4/29/20,15,Black/Black
Recieved these shoes july 27th only used them for work. Im in the medical field and on my feet for 12hr shifts. Last month the left heel air cushion blew out and nike will not replace them. I have numerous pairs of these exact shoes that are years old and still that has never happen. Im done with Nike products. Don't waste hundreds of dollars.,Very disappointed,1,10/20/20,12,Black/White/Anthracite
Unfortunately after having them a month the right shoe went flat. I hope the seller can contact me and help. Very disappointed. And I had only wore them a few times. 😩,Went flat after a month,1,6/22/22,9,Cool Grey/Anthracite-dark Grey
 Did not like purchasing a used product for a brand new price!,Sold a USED product for a NEW Price,1,3/29/23,9,White/Dark Grey-wolf Grey
"At first these were amazing and was happy, 7 months later, worst pair I’ve ever bought. 10months later completely useless. My last pair of air max I bought in 2010 and lasted until March 2016. I bought these last April, soles are completely gone and both air pocketcs have popped. I only wear them to work and take great care of them, which why my last pair last 5 1/2 years. Yes YEARS!! Not months like these. Please refund these or send me a new pair idecitally!! Very pissed off/frustrated/upset customer!!!","Started out nice, worse pair ever; 10 months later.",1,1/21/18,12,Black/Black/Black
"The air support was punctured after wearing one time . Now it has no support , and rolls my ankle with every step .",Air support was punctured after one use,1,11/30/22,12,Cool Grey/Anthracite-dark Grey
I bought these for my 12-year-old son and within one week the soul of the shoe had completely ripped off—the plastic was completely falling off.,Terrible low quality cheaply designed,1,8/26/22,10,Black/Anthracite/White
I've had these for a little over a month and they are very worn and the air is gone with no punctures! Absolutely horrible!!!,Worst shoes I've ever bought!!!,1,10/25/22,10,Cool Grey/Anthracite-dark Grey
These Nike shoes popped after 5 wears! We were very disappointed. They were a gift for my adult son! We wanted a refund or a new pair!,They broke after 5 wears ? The heal air popped,1,7/1/22,13,Black/Black/Black
Looked nice and felt comfortable - that is until the left shoe’s air bubble popped. What a wasteful design.,Air bubble popped in 45 days,1,9/26/22,8,Cool Grey/Anthracite-dark Grey
I had to return the sneakers because the antitheft tag was still on the shoes smh.,Stolen,1,9/28/22,7,Cool Grey/Anthracite-dark Grey
The shoes are cut very narrow,Shoes are cut narrow!!,1,1/7/23,12,Cool Grey/Anthracite-dark Grey
"Wrong size, terrible quality, waste of time and money, only thing I got was another chore.",Don’t buy,1,9/16/22,7,Cool Grey/Anthracite-dark Grey
 After a month of wearing theses shoes the heels went flat and started to squeal. Very annoying every time I walked,Goes flat,1,8/22/22,10,Cool Grey/Anthracite-dark Grey
Looks like the shoe is falling apart and I just received it. Looks like they tried to glue it? Disappointed with quality,Glue was coming apart,1,7/27/22,10,Cool Grey/Anthracite-dark Grey
I thought i was getting all whit pair and i got grey fading to white🤷‍♂️,Not the color i expected,1,8/5/22,12,White
I didnt even get a solid month out of these shoes before the air bag popped. Waste of 200$,Wore these shoes for 1 month 3 to 4 days a week and the air bag has already blown out.,1,6/9/22,13,Black/White/Anthracite
The sole pops easily. Don’t waste your money. I wore this 5 times and the bottom popped  Can’t return it or use warranty.,Bad design,1,3/29/22,9,Black/Black/Black
 Had shoes two months went flat on the right and left hand side heel on both shoes $200 to last for two months,Not worth it,1,11/25/21,12,Black/Black/Black
Shoe was over priced. It was defective. The air max cushion got deflated within few weeks. I returned the shoe. The seller charged me 170$ restocking fee!?? I detailed all that to the seller in a letter with my return.,Don’t think it is fair,1,8/6/21,12,Black/Black/Black
Shoes were worn within one month of normal use. The air shocks are already poped.,Wearing very quickly,1,8/31/22,10,Cool Grey/Anthracite-dark Grey
Bad quality,The books this part is too weak not usable not work one month,1,10/22/22,10,White
These shoes were supposed to be new but they came used. So disappointed especially after paying so much. What a disgrace.,New shoes came used,1,11/17/21,10,White
Received these in the beginning of November. They do not even have 160 miles on them. Very disappointed in the durability of the shoe. Would like a refund or at least a credit towards a better product.,Not Durable,1,1/18/20,8,Wolf Grey/Dark Grey/White
"They came popped  ,",Defective .,1,12/24/18,9,Black/Black/Black
Air blew out during 2nd use.,Left shoe air blew out 2nd time I wore them.,1,7/1/22,11,Cool Grey/Anthracite-dark Grey
I have used these strictly for running. I have used them maybe 6 times. One of them has already completely deflated. I expect way more for a 190$ pair of shoes. Universal has not responded at all to my questions. Would highly recommend not buying these shoes or dealing with the sellaer,Don’t buy,1,12/30/17,9,Black/White/Anthracite
Right shoe has zero support.  I only wore these shoes twice and the right dhoe sir cell does not hold air.. terrible and expensive . Dont buy these,Unsatisfied,1,3/26/20,9,Cool Grey/Anthracite-dark Grey
Don’t buy these shoes. The right one popped a month after I bought them. What a waste of money.,HORRIBLE PRODUCT,1,11/5/20,7,Wolf Grey/Black/Pure Platinum
The show didn’t fit right,Shoe didn’t fit right laces were too short could barely tie them,1,4/18/22,12,Cool Grey/Anthracite-dark Grey
Thought I will give another try,Definitely not worth the money.,1,2/23/20,7,Black/White/Anthracite
Lasted about 1 and a half month then right rear air system sprung a leak now shoes are useless,"Air leak in rear of shoe right side, shoes are use less now",1,5/5/20,9,White
Unfortunately the received product was not properly made,Product is irregularl and damaged,1,4/3/22,12,Black/Black/Black
 Not happy with purchase material is discolored like it sat in the sun for a year the black has purple tint,Faded,1,8/1/21,12,Black/Black/Black
To Big not a 10/12 I sent them back waiting on my refund??,The sneakers were too big!!! Not a 10/12!!!! I send them back I’m waiting on my refund??,1,10/6/21,10,Cool Grey/Anthracite-dark Grey
"I loved this shoes for about two weeks. Then lost air in one, not sure how the air got out there are no punctures in the air bubble.",Good for 2 weeks,1,10/11/19,10,Cool Grey/Anthracite-dark Grey
We had these less than 3 months and the air shock already popped,Didn’t last,1,6/2/20,14,Black/White/Anthracite
Right shoe went flat after two weeks of wearing!,Right shoe went flat after 2 weeks of wearing!,1,12/6/21,12,Black/Black/Black
Did not even try them all on they were damaged on arrival don't even know how you could sell this at a price like that product look like crap,Horrible,1,2/17/19,12,Cool Grey/Anthracite-dark Grey
Shoes became defective 2 weeks ago. One of the heel chambers became flat. Havent had them 4 months. What a waste of money,Defective after 4 months,1,9/23/19,8,Bright Crimson
"Did not fit. It had a band in it, makes it hard to get your foot in.","Did not fit. It has an elastic band in side, makes it hard to get your foot in.",1,7/29/19,8,White/Dark Grey-wolf Grey
These shoes must run very small!!  They are too painful to wear. I wish they could be returned.,Careful these run small!!,1,1/17/18,10,White
Support bubbles popped on both shoes within 2 weeks of normal wear.,Poor quality,1,5/7/19,13,Bright Crimson
"The Shoe fit as expected, however the shoe popped a few days later. Not happy about that.",Not happy about that,1,7/18/17,10,Black/Anthracite/White
Really bad shoes,I don’t think this shoes are being manufacture by Nike,1,2/24/20,9,Black/Black/Black
Wrong color and wrong size.,One Star,1,6/29/18,9,White
The color was completely different then what was stated in the description,Wrong color,1,6/20/19,10,Cool Grey/Anthracite-dark Grey
Loose material on the shoe. Looked very cheap. Returned for refund.,Don’t buy.,1,3/11/19,10,Cool Grey/Anthracite-dark Grey
Horrible fit,Dont order it,1,2/4/19,9,Cool Grey/Anthracite-dark Grey
Squeeks. Makes noise.,Squeeks.,1,2/5/19,9,Black/Black/Black
Air nikes popped already. So disappointed,Useless,1,11/21/22,10,Cool Grey/Anthracite-dark Grey
I returned this product the same day that I received it as it was delivered to me in an old torn box wherein the shoes looked to have been worn. The soles were discolored with an appearance of wear and tear. Shoes looked used but were sold as if they were new.,Shoes appeared to have been worn & received in an old torn box,1,12/1/22,13,Bright Crimson/Black
"My son is in high school and has only wore these shoes for a week at school and the sols are already coming apart , after almost spending 200 on them this is unexceptional and will be getting my money back !!!",Wore 2 weeks only to school and the shoe is already falling apart ! Will be getting a refund,1,8/29/22,11,Cool Grey/Anthracite-dark Grey
These shoes are supposed to be some of the best.  I bought them.  Expensive.  Barely used them.  Except for working out in the gym.  And my left air pocket popped and I almost sprained my ankle.  Tried contacting this company and they havent responded. Amazon will not do anything for me. They told me to go to the manufacturer to take advantage of the warranty.  But Nike won't honor the air pocket lifetime warranty. I'm pretty discouraged by all 3 companies right now.  Not one will do anything. Don't buy these shoes.,Defective shoes.  Amazon won't back the company either that theyve allowed on their site,1,9/7/20,9,Black/White/Anthracite
There is no reason that these shoes should cost this much. Order Nike shoes through a different source. These shoes will fall apart quick.,Not worth the money,1,4/21/22,12,Black Grey
"Not what they used to be , feels like walking around on bricks",Not comfortable,1,5/4/22,12,Black Grey
Send me new one,No good expensive shoes no goog quality,1,6/13/22,8,Black/Anthracite/White
"I bought these for work where I may have to run around in a hurry. They look beautiful and feel comfy, however after 10 weeks of using them the grip on the bottom has almost worn through and I'm close to reaching the air bubble.","Looks good, just don't go running too much in them.",2,8/21/23,8,White
Did not hold up for the price!  The air cushion blew out in the first 2 weeks.  Very disappointed,Poor quality,2,8/24/23,13,Black/Black/Black
"After 3/4 weeks of use, these shoes are squeaking very bad, both of them, I don’t think I can use them anymore since everybody is looking at me when I’m walking or running, very dissapointed.",After 3 weeks these are squeaking badly,2,7/7/23,9,Cool Grey/Anthracite-dark Grey
Unless you are planning on staying on a treadmill with these I would not recommend them. The second time wearing these I brushed up against a curd on my way to a track meet and pop. So lamé probably last time buying Nike for my family of 5 .,Fragile,2,4/28/23,12,Black/White/Anthracite
I just bought them for my husband not long ago and the air pocket popped already!,Popped,2,7/23/23,9,Cool Grey/Anthracite-dark Grey
Didnt have these long at all the exposed bubble on the bottom got pierced with a stick for the money these didnt last as long as id like went to dicks and got a 80$ pair of airs that have outlasted them by much longer,Popped in 5 ish months,2,4/2/23,12,Black/White/Anthracite
Dont wear when lifting weights as it will pop the air pocket of the shoe. Great for running but not lifting weights . After 2 months left right air bubble on shoe popped. Was going to get another pair in a different color until this happened.,Great for running but not liftingweights.,2,3/4/23,9,White/Dark Grey-wolf Grey
I’ve owned many 360s. Something is off on these. Nike reject shoe maybe. But both squeak and the laces are too short,Something’s off,2,5/19/23,10,Cool Grey/Anthracite-dark Grey
"Nike has a great brand with he quality of products, however in this case the shoe started squeaking three months after purchase. I was told it was because of manufacturer defaults which is disappointing.",Great at first,2,2/7/23,9,Black/White/Anthracite
"The shoe looks great, fits great, but after the break in period shoe material begins to squeeze and shift while walking. I no longer run in them in  fear of rolling my ankle. It looks nice but i feel it is no longer safe to long distance run in. Of course these defects show up after I'm able to return them so I'm stuck with a $200+ walking shoe. Some may pay these prices for fashion but I only took a chance and paid this price for the results advertised.",Expensive for results,2,5/19/21,12,Black/White/Anthracite
shoe look used,dont like color,2,5/26/23,9,Cool Grey/Anthracite-dark Grey
"I have always been a big fan of the Nike air max, I bought these 5 months ago and for 3 months of that I had knee surgery so couldn't even wear them between being bed ridden and crutches.  So I've essentially wore the shoes for 2 months and the air pocket on them had a leak so I literally had a flat tire.  These are the most comfortable shoes ever until you get a flat tire.  For paying over 100 bucks for a pair of shoes you think you should get a lot more out of them.  I bet they wouldn't of lasted a week if I was a runner.  It is possible that I got a lemon pair and hopefully that's the case.",These are the most comfortable shoes ever until you get a flat tire,2,7/17/18,12,Black/Black/Black
Don’t buy. They make a squish sound when you walk.,Not worth it,2,3/15/23,13,Black/Black/Black
The bubble on my right shoe got flat within 4 months of normal use. Nike has a two year warranty but have to go thru seller. This seller did not help with warranty.,Bubble got flat  whiting 4 months,2,10/19/22,9,Cool Grey/Anthracite-dark Grey
The shoe seems to be much smaller than they say. They are really tight around your feet. The shoes look good but as for fit they are a no go.,Too Tight,2,10/3/22,10,Black/Anthracite/White
Great design. Left shoe has wrinkle on the fabric. Not the best fit. Pegasus shoes are much better and supper support. Not worth the price.,No the greatest fit. Pegasus shoes are more comfortable,2,10/7/22,9,White
" The left sneaker collapsed,  the cushion in the heal lost the air.  Only 2 months","The left sneaker collapsed,  the cushion in the heal lost the air.  Only 2 months",2,8/3/22,9,Black/White/Anthracite
 Looks like they been worn and put back in the box..,Looks used,2,10/30/22,9,White
"I’ve bought tons of Nike sneakers and they come a pretty standard way. These sneakers almost had a feel as though they were refurbished. For examples the shoes were laced up with some shoelaces that barely fit. Seems random but this little detail has my spidey senses tingling. I’m kinda of feeling as though I should have spent the extra $10, $15 and bought from a legit store.",Something about these sneakers seems off,2,5/26/19,9,Bright Crimson
I always love my Nike air max but this purchase has been disappointing. Less than 2 months of use and both the airs popped which makes it feel like you wobble n unbalanced. There has to be a defect or something but for that money last a few months not two.,My favorite shoes and they popped after 3 months,2,1/15/20,12,Bright Crimson/Total Crimson/Black
Sneakers came and looked nice when they came but when I took them out and looked at them I notice a mark in the air bubble at first thought it was glue or something but it wouldn't rub off thought it was a crack but air does not leak out you pay a price like this for sneakers you expect them to be perfect,Sneakers came and looked nice when they came but when I took them out ...,2,5/13/17,10,Black/White/Anthracite
"Shoe blew out....  other than that, all good",Blew OUT!!!,2,4/19/19,9,Cool Grey/Anthracite-dark Grey
Color is off,Ok,2,1/14/20,11,White
The shoe is to tight,Tight,2,8/8/19,10,Cool Grey/Anthracite-dark Grey
Running,The heel pop,2,7/21/19,8,Wolf Grey/Dark Grey/White
Overpriced,Overpriced!!!!!!!!,2,10/11/23,13,White
"I'm not a shoe ""specialist"" by any means, but my second pair (of the exact same color/style) of this shoe. Felt cheaper in quality. The padding felt non-existent, no ""squishy"" from the Air-Max, and the insides are not as comfortable. Just my opinion.",2nd Pair Owner,2,8/11/23,10,White
With real nikes you can send them back to nike if the bubble bursts.,Bubble burst,2,4/30/22,13,Black/White/Anthracite
The grey isn't near as dark in person. Online it appears almost black but in person it's just a dirty grey color. Not keeping.,Much lighter in person,2,4/13/22,7,Cool Grey/Anthracite-dark Grey
The sneakers are not original,The sneakers are not original,2,6/10/22,11,White
I didn't like where the tags for the shoes where located at.  seems like the shies might be fake or something with the tags sewn onto the sole.,tags in suspious area,3,1/7/24,13,Black/White/Anthracite
Shoes are amazing! Amazon offered a partial refund for the missing box,Where is my Nike shoe box?,3,2/15/23,12,Black/Black/Black
Too big,I’ve been wearing a size 10 Nike for 30 years. This was a size and a half to be.,3,3/27/23,10,Cool Grey/Anthracite-dark Grey
"Really comfortable and good fit. However the air bubble popped after 6 months of light use, did not wear daily.","Felt Great, Air Bubble Popped",3,8/9/22,9,Black/Black/Black
Sneaker received was dirty and show was defected,Seems like these are defected sneakers and were soiled,3,10/6/22,13,Cool Grey/Anthracite-dark Grey
"The bladders delate after a dew days of normal wear, had them replaced, same thing happened to the new pair.  I would not recomend buying these unless u don't walk or stand, otherwise u will be walking on goodlooking shoes with popped bladders.",The air bladders are week and delate after few days of normal use,3,10/17/21,11,Cool Grey/Anthracite-dark Grey
"I have numerous pairs of this shoe, but as I have read in other reviews the shoe fits tight.  I can usually add my orthopedics, but not this time","Cute shoe, but the top of the foot area to tight",3,8/18/21,7,Cool Grey/Anthracite-dark Grey
"I wanted the shoe to be predominantly White, it is not, it's mostly Grey","The shoe is more Grey, then White",3,9/24/21,12,White
"These run a bit narrow and the standard 45"" shoelaces were too short to allow adjustments. I tried both 48"" and 54"" shoelaces, and the 54"" worked best. I own many pairs of Nike Air Max shoes, and these are the first ever to have this issue.","Narrow, shoelaces short",3,6/30/17,10,Black/White/Anthracite
Fantastic shoe only I got a defective pair where the right shoe makes a terrible squeaking noise with every step...literally every single step.,***Great shoe for the price***,3,4/17/20,11,White
More narrow than the typical Nike fit.  The shoe looks awesome but is very snug.,More With Needed,3,12/5/19,12,White
Was not happy with the color expecting the off white came in a off blue grey. The fit comfort and how my foot feels is awesome.,Was not happy with the color expecting the off white came in ...,3,2/14/18,9,White
"They look comfortable, but they really aren’t",Looks can be deceiving,3,9/27/19,10,White/Dark Grey-wolf Grey
"didn't like the color, it was actually way darker.",Three Stars,3,4/21/18,9,Cool Grey/Anthracite-dark Grey
"Cost 245.00, insane, insane bout airmax",Pricey,3,6/8/17,13,Black/White/Anthracite
NORMAL WEAR AND THE RIGHT AIRBUBBLE WENT. I HATE WHEN THAT HAPPENS!!!!! $200 FOR 6 MONTHS. UGHHHHH,"LOVE THE SHOES, BUT AIR BUBBLE POPPED AFTER 6 MONTHS.",3,7/27/23,12,Cool Grey/Anthracite-dark Grey
Look I love Air Maxes. And loved the feel and style of this model. But I’m about tired of the air pockets popping within a year after spending $200 on shoes. This is not the only model it’s happened to me with. But damn sure happened with these too.,Meh,3,11/11/22,9,White
The Price was Nice. Look good. But the name People Loove to have timeless items. But to be 7 years later puts the name as just Old when the kicks be new. So judge is All up to u. I jumped w/no thought. I think it hit the spot as they are not 4me to wear... Hard to love footwear another got 4u. Till u wear awhile.. They Do look their Part. They look Great felt better =out the mouth of a 6 foot 6 inch stocky man! Put up for a better day.. GETEM wile they Hot..or gone you may Have to climb another tree.. Find a Diff set of these..,The 2017 model will it put you Mind B4 covid or Remind of it?,4,1/13/24,15,Black/Black
Nice quality shoes.,Quality shoes,4,1/2/24,9,Binary Blue/Black-obsidian
"The Nike Air Max 2017 Men's Running Shoes are a great option for people looking for comfortable and stylish shoes. The shoes feature a sleek and modern design, with a breathable mesh upper that allows for maximum airflow and keeps feet cool and dry. While it's coined a ""running shoe"", I don't think this would be a great shoe for serious runners. To me, it's better labeled a ""casual shoe"". Two reasons for this:",A great casual shoe,4,1/18/23,10,Cool Grey/Anthracite-dark Grey
"i am 47 and a life long Nike wearer.  While i like the look and feel of these shoes as i would expect from my previous years of experience with Nike, they are very squeaky.  The fit is perfect but the slight movement of my feet within the shoe causes them to squeak.  I thought this would go away once i had them broke in but i worn them for 5-6 days a week at work and play for a couple months but the squeak continues.  I am going to have to give up on being sneaky any time i wear these.",super squeaky shoes,4,6/28/23,10,Cool Grey/Anthracite-dark Grey
For being almost 200 bucks you would think they would've been more comfortable.  I had to spend another 35 bucks on insoles just so I could wear them.  They look cool though and maybe that's all Nike is about.,Overpriced,4,6/27/23,11,Cool Grey/Anthracite-dark Grey
I received the shoes and they look nice. I have yet to wear them. The shoes arrived in just a few day. They look very comfortable.,Pleasing to the Eye,4,2/28/23,13,White
"I ordered all black and got a gray Nike symbol instead. Other than that, so far they seem legit. I really don't have a complaint at the moment, they seem to have no holes in the air pockets and they aren't falling apart like some said. Perhaps a bit of time worn will change my opinion, but I looked them over scrupulously after seeing more reviews. No complaints on my end other than the color.","Not exactly what I ordered, but I'm not terribly disappointed.",4,7/27/22,9,Black/Black/Black
Air max lost air after 3-4 months. Bubble popped. Bubble is exposed on bottom of shoe so after a few months normal wear and tear right shoe is ruined. Paid about $100 per month. Ridiculous for the amount they cost I expected to have for years.,Bubble popped after a few months. Right shoe is ruined. For almost $300 terrible value!,4,9/15/22,14,Black/White/Anthracite
I have been buying the same shoe with different colors (presently I have 7 pairs).  Is this shoe the best for everyone?? NO.  I run about 4 miles a day and it provides great support,It is the right shoe for my foot,4,7/18/22,9,Cool Grey/Anthracite-dark Grey
They were to tight,I love the shoe there just to tight,4,9/24/22,12,Black/White/Anthracite
"Love the look, and they’re fine for hanging out but any extensive running (or even long walk) would be better served with a real running shoe.",Running shoe style - bit I wouldn’t log miles in them.,4,6/27/22,11,Black/Anthracite/White
"It's a good shoes, just as what I expect from usual Nike air max series.","good shoes, but I need to adjust my shoes tongue",4,2/25/19,9,Cool Grey/Anthracite-dark Grey
I could tell from wear on the bottom of the shoe that they we not brand new as listed.  Also they did not come in the original packaging.,Product was not listed at truly new,4,6/29/20,12,White
"Been a long time user of Air Max shoes.  The sole has changed though and wear very fast.  Normally I get 10-12 months.  With the new sole, they only last about 6 months before the sole wears too much and air sole pops.",Been a long time user of Air Max shoes. ...,4,3/5/18,13,Black/White/Anthracite
This is my second pair in The last four months. The first pair lost the air with in the soul of my right shoe and was very uncomfortable. I thought I would give the shoe one more try because when it was correct it fit and felt great that I would order it again.,Second chance,4,4/15/17,11,Black/White/Anthracite
There was a stain on the shoe that cannot be removed. Other than that good,Stain,4,10/2/19,8,Wolf Grey/Dark Grey/White
Great shoes. Comfy but the only thing is that (and I heard it from other nike owners) they really don't lust long. and too high of a price.,Great shoes but price is too high!,4,7/21/17,11,Black/Anthracite/White
Nike as expected well made shoe.,Nike never disappoints!,4,1/12/20,8,Wolf Grey/Dark Grey/White
Good job bro,Good job bro,4,3/30/20,13,White
It is a little stiff at the beginning...,Get them 1/2 size bigger.,4,7/30/19,8,Cool Grey/Anthracite-dark Grey
Pricey but ...,Pricey,4,2/29/20,9,Black/Black/Black
Comfortable.,Nicd shoes Air Max,4,7/21/19,8,Cool Grey/Anthracite-dark Grey
Somewhat small.,Not satisfied !!,4,6/3/19,12,Cool Grey/Anthracite-dark Grey
The color looks more orange in person,Great quality and fits well,4,3/22/19,12,Bright Crimson/Total Crimson/Black
they get the job done for standing or walking a lot,Four Stars,4,6/4/17,10,Black/White/Anthracite
All good,They look and fit as expected,4,3/27/19,12,Cool Grey/Anthracite-dark Grey
Ran smaller than my last air Nikes!,Four Stars,4,12/17/16,11,Black/Anthracite/White
Very nice,Four Stars,4,10/28/17,11,Black/White/Anthracite
Excellent for job that requires a lot of physical activity.,Go for work that requires a lot of physical activity.,4,1/31/21,14,Black/Black/Black
Christmas present,NeedNeedy Christmas present,4,12/14/22,10,Cool Grey/Anthracite-dark Grey
My last three pair have all been exactly the same. So yes I like them.,My shoes,5,1/18/24,10,Black/White/Anthracite
These shoes fit so well and I can't wait to purchase again in another color.,Best Buy Ever,5,1/18/24,13,Black/Black/Black
They fit perfect. They are really light and comfortable. I would buy these everytime I need new shoes!,Best shoes I've ever owned,5,12/31/23,10,Pure Platinum/White-black
Best walking shoe I've found!,Highly recommend,5,1/5/24,8,Black/Anthracite/White
I like this shoes,Good,5,12/19/23,7,White
I just love air max in general. Comfy and fit great,Great,5,12/13/23,11,Pure Platinum/White-black
My husband has gigantic feet. He has a wide foot and can’t stand shoes that are tight around the toe area or where the laces begin. These shoes are his everyday sneaker. He loves and lives in these. He has a lot of other sneakers in his collection but always comes back to these for comfort.,Exactly what the doctor ordered,5,11/5/23,13,Black/Black/Black
