,review,rating_sent
41,"Husband was so excited when I bought these for him. He wears them everywhere. Unfortunately, he stepped on an industrial staple somewhere and now the sole is not as supportive. Quality, size and comfort are perfect.",positive
42,Comfortable,positive
43,Fire,positive
44,Love these shoes! The most comfortable shoes ever! I just wish the air bags on the bottom lasted longer.,positive
45,"Fits well and is comfortable to wear.  I primarily use them for the gym, and its also a nice looking shoe.",positive
46,"I wear Nike Air Max training shoes only.  Great support and comfort.  This was an easy purchase, a fast delivery and the product is authentic and a perfect fit.",positive
47,The 2017 Air Max shoes are my favorite design from the last 5 years. Very satisfied with this purchase.,positive
48,I simply love these Air max. They are so comfortable( expensive) but well worth it.,positive
49,Air pocket popped just after the return window. now it is unstable to walk on. the front foot area wore out extremely quick. material doesn't feel like rubber. poor quality. be careful when buying these shoes from this seller.,negative
50,Love almost all Nike Air Maxx's and these did not disappoint.  My son loves them!,positive
51,Quality is not as I bought earlier … I am not sure if the original NIKE or copy of it ….,negative
52,The best nikes I have ever owned this is my third pair of these exact ones,positive
53,"I liked the shoe most of all due to Kobe Bryant....RIP, see you in Heaven!",positive
54,Very comfortable.  I have several pairs of these 2016's.  Hurry before they are all gone.,positive
55,Nike needs to continue the 2017 design.  One of the best shoes I've owned!,positive
56,My 2nd pair of 2017 Air Max's. Exactly as I was expecting & looking for! Perfect!! This picture is almost a week of wearing them & absolutely the best shoes ever owned.,positive
57,Excellent product.,positive
58,"Great shoe, however they're excessively priced just like all nike products! This is a theme with all Nike products! Specifically shoes made in a sweatshop somewhere in asia for a whopping $3.00 and then price jacked and sold everywhere else for $200.00",negative
59,Arrived fast and in brand new shapes as advertised.,positive
60,Product was exactly as described and most importantly fit perfectly!,positive
61,They are a tight fit which is different from the nike I buy in the states. I would have liked a half size larger.,neutral
62,Comfortable shoes and very nice looking love wearing them,positive
63,Amazing shoes. Comfortable.  I got them to wear to the gym. Ultra comfy,positive
64,"I bought these shoes directly from NIKE and loved them.  Then I decided I liked these shoes so much that I'll look for them on amazon.  I found what appeared to be the exact same shoe and bought them.  When I received them they looked identical but the fit wasn't exact, the tongue of this shoe was shorter and when I ran with them, they didn't have the same flexibility.  Unfortunately, my schedule didn't allow me to discover this until it was too late to return them.  Replicas are fine, but they should be listed as such and priced accordingly",negative
65,No complaints - great arch support.,positive
66,Product was as descibed,positive
67,I felt like I was walking on air.,positive
68,Loved them and will buy more colors,positive
69,I thought they would be comfortable but they are not,neutral
70,Very nice shoes just love it,positive
71,Great product with extremely efficient shipping!,positive
72,"Air Popped, no stress, poor quality.  contacting nike.  hard to walk on, unstable.",negative
73,Just awesome,positive
74,The air pocket on the left shoe popped 10 days after the return window rendering the shoes useless.,negative
75,Great shoe very comfortable,positive
76,I love them,positive
77,Sneakers were as expected.,positive
78,They fit good,positive
79,Love them,positive
80,Everything was good,positive
81,Very comfortable shoe.,positive
82,Love the product.,positive
83,Like the look and fit of the shoes,positive
84,Love them,positive
85,Perfect!,positive
86,Great,positive
87,"I spent $205 on these shoes, and they came with a scuff and are obviously used. Buyer beware. Plus they had some kind of animal hair all over them.",negative
88,Nice,positive
89,Perfect,positive
