,review,title,rating,purchased_product,date
28,"They misrepresented, this watch Gen2 and no parents  GPS supported. First time I bought Apple products from Amazon. I wish I never purchased. It’s ne return or replace option. I opened to give my son birthday gift. I was so disappointed. I never ever buy any electronics from Amazon or other place than original stores",Very disappointed,1.0,"['Color: Silver Aluminum Case with Winter Blue Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-03
29,"You need the ""GPS+CELLULAR"" for family setup. The advertising for the ""GPS"" model is WRONG, it does NOT support family setup.  Amazon was very dismissive of this, refused to cover the price difference, and hung up on me.  I am now on my second call to Amazon, let's see how that goes.",THIS MODEL DOES NOT SUPPORT FAMILY SETUP,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-12-08
30,The Apple Watch didn’t hold a charge. I would look at my watch halfway through the day and it would be dead.,Apple Watch,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-12-09
31,Updated to IOS17 and still won’t connect and if it does it disconnects immediately.,Will not connect to iPhone 13,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-03
32,I would give zero stars if I could. Recieved a taped up box with a sticker that said new. Opened it up to make sure it was indeed new and the only thing in the box was the band and charging cable. No watch. Extremely disappointed,No watch,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-26
33,"Bought this watch for my daughter for her birthday. Spent hours updating it and pairing/repairing with numerous warning and alerts, all which said the watch was not compatible with Family Setup. That is the SOLE reason I bought this watch. I will be returning.",Does not work with Family Setup,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-12-11
34,Battery won’t stay charged more than a couple of hours.,Buy somewhere else. Battery won’t stay charged for more than a couple hours.,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-19
35,"Be careful getting a “good as new” Apple product, because this one still had the Smart lock in place. I'm completely locked out, and can’t pair or factory reset it. I have to return it and get another one. A huge waist of time.",Refurbished product is completely unusable! requires contacting previous owner.,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-19
36,"How is apple going to sell you a watch for hundreds of dollars, then put a MagSafe charger in the box with a USB-C plug at the end of it and no wall charger? I’m sure it would have cost them about 50 cents per watch to include a wall-USB C charger in the box, but nope, they want you to go out and spend $25 for some other gadget.",No wall charger????,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 44mm', 'Style: S/M - fits 140–190mm wrists', 'Configuration: Without AppleCare+']",2023-10-07
37,I didn’t pay over $200 to not receive the full product.,Did not come with band,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 44mm', 'Style: M/L - fits 160–210mm wrists', 'Configuration: Without AppleCare+']",2024-01-07
38,I bought this on Apple Watch on a deal thinking it would be worth my money because it was on a deal but then I went to set it up and it had an activation lock on it,It was owned by someone else,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-25
39,so so so so stupid to not include a charger for something someone buys. literally what am i supposed to do with no charger?,no charger,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-24
40,Be aware even though this storefront says this watch does family sharing it doesn’t .. you need one with cellular. Very disappointing Xmas.,No family sharing,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-12-26
41,battery doesn't hold a charge and gets hot.,junk,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2024-01-10
42,Received the watch and it said locked by previous owner. Apple won’t reset it. And can’t contact seller to reset it,Terrible,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-24
43,"Beware. Watch was purchased as new, came new in a apple box however it was linked to an unknown email address.",Refurbished item sold as new,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2024-01-02
44,How am I supposed to charge this? It didn’t even come with a usb. Apple is turning into a joke. Sorry I don’t have the latest and greatest iPhone so I don’t have a proper puck to plug this into. How are you not providing a way to charge this into an outlet. Lame,Can’t use product if I can’t charge it,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-12
45,"As the title says. Product came in with a damaged box and the product was already open. I’m hopeful the product works, but when I purchase a titled “brand new” product, I expect it to be brand new and not opened or damaged.",Damaged package and previously opened package,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 44mm', 'Style: M/L - fits 160–210mm wrists', 'Configuration: Without AppleCare+']",2023-11-29
46,"After wearing the Apple Watch for several days, I began to experience wrist pain in both wrists, which got progressively worse as time went on.",Experienced severe wrist pain,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-04
47,This is not a gps + cellular watch. It cannot support family mode. Thanks for a great Christmas surprise,False advertising,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-12-25
48,Don't buy on amazon because you might not get it. The watch itself maybe great but i can't tell.,Stolen,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 44mm', 'Style: M/L - fits 160–210mm wrists', 'Configuration: Without AppleCare+']",2023-12-20
49,"After using it for less than 25 days, it completely stopped working and now we can't even get it to turn back on.  I'm wondering if I was sent a used one.  I went online and tried all the troubleshooting recommendations, but it won't turn back on.  Out household owns 3 other apple watches so it's not an issue of us not knowing how to use it.  What a huge disappointment & waste of money.",IT DIDN'T WORK!!!!,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-08-28
50,The battery doesn’t last 24 hours. The description said it should last up to 10 days.,Battery,1.0,"['Color: Silver Aluminum Case with Winter Blue Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-25
51,"Worst watch on market save money get a 60$ fitness tracker. I hate this watch and it only has a day battery life. Doesn’t track steps or calories.. but it has voice memo.. worst fitness tracker, so much useless stuff that cannot be removed. You only get a week to return with this seller, so I couldn’t return by the time I figured out how bad this watch is..",No steps or useful health info,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-09-18
52,This watch does not come with a charger that you were able to plug in and use. it has one of those bizarre ends instead of a USB that would go into the plug and do you need a special adapter for it. i've had my watch for a week and I still cannot charge it Or use it at all,This watch does not come with a charger that you were able to plug in and use,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-10-16
53,Had my Apple Watch one week. Didn’t like the band at all was ordering new band for it. Before I could get my new band the Watch prong that is suppose to fit into the hole slipped out and fell off. I’ve worn it all day and now the screen is cracked. The only solution apple offers is to replace the screen which cost more that the Watch. Will go back to my sturdy Garmin I’ve had for 8 years.,This watch is zero stars,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-07-26
54,Received after a month. Package was opened. Band was missing.,Package was opened,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-29
55,"The OS is so out of date on this watch it will not pair with a current iPhone.  There is no way to update the watch on a correct iPhone, we have tried different methods for hours.  Unless you have the right OS on an older iPhone, stay away from this model",Do Not Purchase If You Have a Current IPhone,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-10-21
56,Would have been nice to receive my watch but all I got was a empty box and the charger. I guess that wasn’t needed.,Empty Box,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-23
57,Doesn’t work with my perfectly good 8s iPhone.  And came with an android charger.  To say the least im not impressed that I finally decided to break the bank and purchase this watch only to be forced to buy a new phone.  So un necessary.,iwatch would’ve called Android watch,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-10-14
58,No satisfecho,X,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-12-30
59,I got my watch yesterday would not charge checked three charging towers still did not charge went to a phone center they checked my charger and confirmed it was a defective charger. I tried tech support no help. This has been very frustrating.,Defective charger,1.0,"['Color: Silver Aluminum Case with Winter Blue Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-10-11
60,No,Wasn’t told that the watch would not work with iPhone 8,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-12-19
61,When I first turned on the watch it was asking for a passcode to get in when I didn’t even set up the watch. Attempted to factory reset the watch. Turns out it’s locked by the original owner. So I can not use or access the watch. Also did not receive a band with the watch when it was supposed to come with one.,Apple watch was not reset from last owner,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-07-22
62,I returned this watch on 10-13-2023. It says it has been received but I have not received my refund and its been over their 2-3 days.,Doesn't work with an android phone,1.0,"['Color: Silver Aluminum Case with Storm Blue Sport Band', 'Size: 44mm', 'Style: M/L - fits 160–210mm wrists', 'Configuration: Without AppleCare+']",2023-11-07
63,Nothing said I couldn’t use it with iPhone 12 very disappointing took over a month to get my refund and that was me initiating several calls and processes.  They just didn’t want to do it!,Can’t use it with semi new i phones,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 44mm', 'Style: M/L - fits 160–210mm wrists', 'Configuration: Without AppleCare+']",2023-10-21
64,If I could return it I would. My first Apple Watch and battery doesn’t even make it 24 hours. Going back to Fitbit,Battery sucks.,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-10-31
65,Never again buying anything apple on here I was sent a used item,Item was USED!,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-25
66,This came opened despite the listing saying it was new. I returned it and still have not received a refund.,Item condition not new.,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-01
67,This watch was missing the band. Came in an open box. And had a strange email already entered in the account,This watch was used,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-06
68,To watch time and other stuff,Gross wrist band,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-29
69,Highly disappointed! I bought this watch on prime day on my birthday as a replacement to mine that I lost in the quarry last weekend and it came locked. I am unable to get it unlocked and will most likely have to return it. So glad my birthday present was a waste of time.,Zero stars highly disappointed,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2023-07-19
70,Fine product but was too large for my girlfriend. Returned it a month ago and saw that they received it and still haven't gotten a penny back yet. Amazon customer service gave me a different answer 3 times.,Don't expect a quick refund,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 44mm', 'Style: M/L - fits 160–210mm wrists', 'Configuration: Without AppleCare+']",2023-08-20
71,Didn’t charge.  Returned.  It’s been weeks and no refund !!!!!!,No refund!,1.0,"['Color: Silver Aluminum Case with Winter Blue Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-11-05
72,Watch lasted for exactly 1 month. Delivered on 10/11. Stopped on 11/11.,Stopped working,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 44mm', 'Style: S/M - fits 140–190mm wrists', 'Configuration: Without AppleCare+']",2023-11-11
73,"Listing does not say anywhere item is used, beware.",Item was USED!,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-10
74,It a good product I like the sucky part it doesn’t. Have a charge to plug the light outlet,It a good product I like the sucky part it doesn’t. Have a charge to plug the light outlet,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Loop', 'Size: 40mm', 'Style: One Size - fits 130–200mm wrists', 'Configuration: Without AppleCare+']",2023-10-14
75,I did not like the clumsiness of wearing it. I did not understand a lot of it. Trial and error and finding answers to my problems was nearly impossible.,inferior and useless AVOID  this .,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-02-22
76,The watch will not pair even with updates on my phone and trying o update the watch,Selling bad watches,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 44mm', 'Style: M/L - fits 160–210mm wrists', 'Configuration: Without AppleCare+']",2023-10-25
77,Terrible. All around terrible.,Trash,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-11-08
78,Must have an iphone (newer) to use this watch .This isn't noted anywhere when purchasing this watch.,Must have an updated iphone in order to use this watch,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-10-18
79,"Bought this watch on prime days. Would not turn on or charge, asked for replacement because was a good price, would not let me only could return. So don’t get the deal on the watch because prime days over",Defective,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-07-15
80, I'm worried this is probably damaged due to water- I'll return and try again.,Package is soaked wet.... has been re wrapped as if it were used?,1.0,"['Color: Starlight Aluminum Case with Starlight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-10-31
81,This Apple Watch would not connect to anyone’s phone.,Apple Watch Technical Issues,1.0,"['Color: Midnight Aluminum Case with Midnight Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-10-10
82,"Nowhere in the ad does it mention iPhone is required. Nope, iPad won't work with it. Good to know, huh?",Would have been nice to know iPhone was required,1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: S/M - fits 130–180mm wrists', 'Configuration: Without AppleCare+']",2023-08-15
83,"Ordered this as my daughters Christmas gift, the one thing she wanted most. And it doesn’t work. Will not charge, will not turn on and we are unable to do any reset. We spent a lot of money on this product and we trusted in Amazon and the seller to assure this would get to us working and worth the money we spent. I am extremely disappointed and my daughter is heartbroken.","Ordered this as my daughters Christmas gift, the one thing she wanted most. And it doesn’t work.",1.0,"['Color: Silver Aluminum Case with White Sport Band', 'Size: 40mm', 'Style: M/L - fits 150–200mm wrists', 'Configuration: Without AppleCare+']",2022-12-25
